"Name","H","AB","BA","Rating"
"David Aardsma",0,1,0,0.32257535052749
"Jose Abreu",178,613,0.290375203915171,0.812445946621313
"Dustin Ackley",55,238,0.23109243697479,0.37157065761168
"Austin Adams",0,1,0,0.32257535052749
"Cristhian Adames",13,53,0.245283018867925,0.287971558594194
"Matt Adams",42,175,0.24,0.409788312197349
"Ehire Adrianza",21,113,0.185840707964602,0.240385107982609
"Jeremy Affeldt",0,2,0,0.241931512895618
"Jesus Aguilar",6,19,0.315789473684211,0.342446623538102
"Nick Ahmed",95,421,0.225653206650831,0.506860259037565
"Hanser Alberto",22,99,0.222222222222222,0.281301381009731
"Arismendy Alcantara",2,26,0.0769230769230769,0.110057705625459
"Abraham Almonte",58,232,0.25,0.404125810694012
"Yonder Alonso",100,354,0.282485875706215,0.60217013166912
"Aaron Altherr",33,137,0.240875912408759,0.362823789015158
"Jose Altuve",200,638,0.313479623824451,0.836973085988626
"Dariel Alvarez",7,29,0.241379310344828,0.281433647236111
"Henderson Alvarez",2,6,0.333333333333333,0.365856305474972
"Pedro Alvarez",106,437,0.242562929061785,0.534568828508516
"Alexi Amarista",66,324,0.203703703703704,0.414215208567914
"Brett Anderson",4,47,0.0851063829787234,0.113470090353343
"Bryan Anderson",2,5,0.4,0.420292842045151
"Chase Anderson",5,48,0.104166666666667,0.127503680555261
"Cody Anderson",0,3,0,0.193545210316494
"Elvis Andrus",154,596,0.258389261744966,0.707414593530577
"Matt Andriese",0,1,0,0.32257535052749
"Dean Anna",0,1,0,0.32257535052749
"Nori Aoki",102,355,0.287323943661972,0.586151313066903
"Elvis Araujo",0,1,0,0.32257535052749
"Chris Archer",0,5,0,0.138246578797496
"Oswaldo Arcia",16,58,0.275862068965517,0.31389815980208
"J.P. Arencibia",22,71,0.309859154929577,0.412386361821846
"Nolan Arenado",177,616,0.287337662337662,0.84011215881387
"Joaquin Arias",12,58,0.206896551724138,0.249126187692478
"Jake Arrieta",12,79,0.151898734177215,0.184383136120392
"Cody Asche",104,425,0.244705882352941,0.53474862014104
"Alec Asher",2,6,0.333333333333333,0.368889789428751
"Nevin Ashley",2,20,0.1,0.14051651787589
